txno,    txndate,   custno, amount,      category,       product,                 city,     state,     spendby
0,06-26-2011,4007024,40.33,Exercise & Fitness,Cardio Machine Accessories,Clarksville,Tennessee,credit
1,05-26-2011,4006742,198.44,Exercise & Fitness,Weightlifting Gloves,Long Beach,California,credit
2,06-01-2011,4009775,5.58,Exercise & Fitness,Weightlifting Machine Accessories,Anaheim,California,credit
3,06-05-2011,4002199,198.19,Gymnastics,Gymnastics Rings,Milwaukee,Wisconsin,credit
4,12-17-2011,4002613,98.81,Team Sports,Field Hockey,Nashville  ,Tennessee,credit
5,02-14-2011,4007591,193.63,Outdoor Recreation,Camping & Backpacking & Hiking,Chicago,Illinois,credit
6,10-28-2011,4002190,27.89,Puzzles,Jigsaw Puzzles,Charleston,South Carolina,credit
7,07-14-2011,4002964,96.01,Outdoor Play Equipment,Sandboxes,Columbus,Ohio,credit
8,01-17-2011,4007361,10.44,Winter Sports,Snowmobiling,Des Moines,Iowa,credit
9,05-17-2011,4004798,152.46,Jumping,Bungee Jumping,St. Petersburg,Florida,credit
10,05-29-2011,4004646,180.28,Outdoor Recreation,Archery,Reno,Nevada,credit
11,06-18-2011,4008071,121.39,Outdoor Play Equipment,Swing Sets,Columbus,Ohio,credit
12,02-08-2011,4002473,41.52,Indoor Games,Bowling,San Francisco,California,credit
13,03-13-2011,4003268,107.8,Team Sports,Field Hockey,Honolulu  ,Hawaii,credit
14,02-25-2011,4004613,36.81,Gymnastics,Vaulting Horses,Los Angeles,California,credit
15,10-20-2011,4003179,137.64,Combat Sports,Fencing,Honolulu  ,Hawaii,credit
16,05-28-2011,4009135,35.56,Exercise & Fitness,Free Weight Bars,Columbia,South Carolina,credit
17,10-18-2011,4006679,75.55,Water Sports,Scuba Diving & Snorkeling,Omaha,Nebraska,credit
18,11-18-2011,4002444,88.65,Team Sports,Baseball,Salt Lake City,Utah,credit
19,08-28-2011,4008871,51.81,Water Sports,Life Jackets,Newark,New Jersey,credit
20,06-29-2011,4001364,41.55,Exercise & Fitness,Weightlifting Belts,New Orleans,Louisiana,credit
21,02-14-2011,4003144,45.79,Air Sports,Parachutes,New York,New York,credit
22,10-10-2011,4006131,19.64,Water Sports,Kitesurfing,Saint Paul,Minnesota,credit
23,05-02-2011,4007596,99.5,Gymnastics,Gymnastics Rings,Springfield,Illinois,credit
24,06-10-2011,4009341,151.2,Water Sports,Surfing,Plano,Texas,credit
25,10-14-2011,4003760,144.2,Indoor Games,Darts,Phoenix,Arizona,credit
26,10-11-2011,4000403,31.58,Combat Sports,Wrestling,Orange,California,credit
27,09-29-2011,4005211,66.4,Games,Mahjong,Fremont,California,credit
28,05-12-2011,4001864,79.78,Team Sports,Cricket,Lexington,Kentucky,credit
29,06-03-2011,4005691,126.9,Outdoor Recreation,Hunting,Phoenix,Arizona,credit
30,03-14-2011,4009693,47.05,Water Sports,Swimming,Lincoln,Nebraska,credit
31,11-28-2011,4002130,5.03,Games,Dice & Dice Sets,Los Angeles,California,credit
32,01-29-2011,4007790,20.13,Team Sports,Soccer,Springfield,Illinois,credit
33,06-15-2011,4005337,154.15,Outdoor Recreation,Lawn Games,Nashville  ,Tennessee,credit
34,05-06-2011,4000663,98.96,Team Sports,Indoor Volleyball,Atlanta,Georgia,credit
35,04-12-2011,4006967,185.26,Games,Board Games,Centennial,Colorado,credit
36,10-13-2011,4009055,35.66,Team Sports,Football,Saint Paul,Minnesota,credit
37,04-19-2011,4005737,20.2,Outdoor Recreation,Shooting Games,San Diego,California,credit
